Variable;DSSAT;Unidades_DSSAT;CropSyst
Día_corto_crít;CSDL;horas;
Pend_desarroll_fotoper;PPSEN;1/hora;
Tiempo_emerg_flor;EM-FL;días fototermos;
Tiempo_flor_fruta;FL-SH;días fototermos;
Tiempo_flor_sem;FL-SD;días fototermos;
Tiempo_sem_matur;SD-PM;días fototermos;
Tiempo_flor_finhoja;FL-LF;días fototermos;
Foto_máx;LFmáx;mg CO2/(m2*s);
Superfi_spec_hoja;SLAVR;cm2/g;
Tamañ_hoja_máx;SIZLF;cm2;
Máx_crec_semfrut;XFRT;días fototermos;
Peso_sem_máx;WTPSD;g;
Tiempo_llenar_sem;SFDUR;días fototermos;
Sem_por_frut;SDPDV;semillas;
Tiempo_llen_sem_opt;PODUR;días fototermos;
Ratio_sem_frut;THRSH;sin;
Frac_prot_sem;SDPRO;sin;
Frac_aceit_sem;SDLIP;sin;
Grupo_matur;MG;;
Indic_adapt_temp;TM;;
Taza_rep_min;THVAR;;
Tiempo_siembr_emer;PL-EM;días fototermos;
Tiempo_emer_hoja;EM-V1;días fototermos;
Tiempo_hoja_finjuv;V1-JU;días fototermos;
Tiempo_inducflor;JU-R0;días fototermos;
Prop_tiemp_flor_frut;PM06;;
Prop_tiemp_sem_mat;PM09;;
Tiemp_frut;LNGSH;días fototermos;
Tiemp_matfis_matcos;R7-R8;días fototermos;
Tiemp_flor_hoja;FL-VS;días fototermos;
Taza_aparenc_hoja;TRIFL;hojas/día fototermo;
Anch_rel_ecotipo;RWDTH;;
Altura_rel_ecotipo;RHGHT;;
Aumen_sensit_día;R1PPO;h;
Temp_min_flor;OPTBI;C;
Pend_desarroll_flor;SLOBI;;
Tiempo_emerg_finjuv;P1;Días grados;
Atraso_desarroll_foto;P2;Días;
Tiempo_rep_mat;P5;Días grados;
Máx_semill_por_planta;G2;Semillas;
Taza_opt_llen_sem;G3;mg/día;
Interval_emerg_hojas;PHINT;Días grados;
Temp_base;TBASE;C;
Temp_opt;TOPT;C;
Temp_opt_rep;ROPT;C;
Día_crit;P2O;;
Día_min_juv_rep;DJTI;;
Días_emerg_porprofund;GDDE;;
Días_rep_llen_sem;DSGFT;;
Effic_uso_rad;RUE;g/MJ;
Coef_extinct_luz;KCAN;;
Temp_daño_hoja;TSEN;;
Días_frios;CDAY;;
Superfi_máx_hoja;AX;cm2;
Long_hoja_máx;ALL;Días grados;
Part_C_rep;PEAR;;
Part_C_rama_hoja;PSTM;;
Taza_expan_hoja;G2_papa;cm2/(m2*día);
Taza_pot_crec_tub;G3_papa;g/(m2*día);
Índice_supr_crec_tub;PD;;
Sens_tub_fotoper;P2_papa;;
Temp_crit_tub;TC;C;
