Variable,DSSAT,Unidades_DSSAT,CropSyst
Lugar,SITE,,
Cód_lugar,INSI,,
Lat,LAT,Dec,
Long,LONG,Dec,
Elev,ELEV,m,
Temp_prom,TAV,C,
Amp_temp_mens,AMP,C,
Rad_dia_prom_anual,SPRAY,MJ/m2/d,
Tdia_máx_prom_anual,TMXY,C,
Tdia_mín_prom_anual,TMNY,C,
Prec_dia_prom_anual,RAIY,mm,
Primerdía_sinhelada_prom,START,d,
Prom_dur_heladas,DURN,d,
Intercept_angstrom,ANGA,,
Multiplicador_angstrom,ANGB,,
Alt_med_temp,REFHT,m,
Alt_med_viento,WNDHT,m,
Princ_datos_obs,GSST,,
Núm_años_obs,GSDU,año,
Mes,MONTH,,
Rad_prom_mens,SAMN,MJ/m2/d,
Tdia_máx_prom_mens,XAMN,C,
Tdia_mín_prom_mens,NAMN,C,
Prec_total_prom_mens,RTOT,mm,
Prom_días_prec_mens,RNUM,d,
Horas_sol_dia_prom_mens,SHMN,h,
Intercept_angstrom_mens,AMTH,,
Multiplicador_angstrom_mens,BMTH,,
Mes,MTH,,
Prom_rad_dia_seco_mens,SDMN,MJ/m2/d,
Varia_rad_dia_seco_mens,SDSD,,
Prom_rad_dia_lluv_mens,SWMN,MJ/m2/d,
Varia_rad_dia_lluv_mens,SWSD,,
Prom_temp_dia_seco_mens,XDMN,C,
Varia_temp_dia_seco_mens,XDSD,,
Prom_temp_dia_lluv_mens,XWMN,C,
Varia_temp_dia_lluv_mens,XWSD,,
Varia_temp_dia_min_prom,NASD,,
Alpha_distgamma_prec,ALPHA,,
Prob_lluv_después_seco,PDW,,
