*DSSAT Cropping System Model Ver. 4.6.0.043 -develop      MAR 14, 2015; 09:55:46

 Unit  Filename
  101  OPCLR
   21  FILEIO
   14  BATCH 
  102  SIMCDE
   91  WARNING.OUT
   25  DSPRO
   22  DTACDE
  103  RUNLST
   88  OUTINFO
   11  FILEW
   69  OUTO
   10  FILEC
   39  OUTG
   40  OUTPN
   12  FILEP
  104  OUTS
   65  SEVAL
  105  FILECO2
   52  OUTWTH
   13  FILESS
   47  OUTT
   32  OUTET
   44  SoilOrg.OUT
   79  SoilNoBal.OUT
   76  SolNBalSum.OUT
   78  SoilNiBal.OUT
   43  SoilNi.OUT
   55  Mulch.OUT
   83  SWBAL
   48  OUTWAT
   37  OUTD
