Variable,DSSAT,Unidades_DSSAT,CropSyst,Comentarios
Fecha_siembra,PDATE,,,
Fecha_emergencia,EDATE,,,
Población_siembra,PPOP,1/m2,,
Población_emerg,PPOE,1/m2,,
Método_siembra,PLME,,,DSSAT: T = transplantación S = semilla P = semilla pregerminada N = vivero
Distribución_siembra,PLDE,,,DSSAT: R = surcos B = aleatorio H = montículo
Espacio_surcos,PLRS,cm,,
Dirrección_surcos,PLRD,grados del N,,
Profund_siembra,PLDP,cm,,
Peso_material_sembrado,PLWT,kg/ha,,
Edad_transplantaciones,PAGE,d,,
Temp_transplantación,PENV,C,,
Plantas_por_montículo,PLPH,Unidades,,
Eficiencia_irrig,EFIR,fracción,,
Profund_manejo_irrig,IDEP,cm,,
Hum_empiezo_irrig_auto,ITHR,%,,
Hum_fin_irrig_auto,TEPT,%,,
Estadio_crec_fin_irrig,IOFF,,,
Método_irrig,IAME,,,
Cantidad_por_irrig,IAMT,mm,,
Fecha_abono,FDATE,,,
Material_abono,FMCD,,,
Método_app_abono,FACD,,,
Profund_abono,FDEP,cm,,
Abono_N,FAMN,kg/ha,,
Abono_P,FAMP,kg/ha,,
Abono_K,FAMK,kg/ha,,
Abono_Ca,FAMC,kg/ha,,
Abono_otro_conc,FAMO,kg/ha,,
Abono_otro_cód,FOCD,,,
Fecha_incorp_resid,RDATE,,,
Material_resid,RCOD,,,
Cantidad_resid,RAMT,kg/ha,,
Resid_N,RESN,%,,
Resid_P,RESP,%,,
Resid_K,RESK,%,,
Resid_porcent_incorp,RINP,%,,
Resid_prodund_incorp,RDEP,cm,,
Fecha_labranza,TDATE,,,
Herramienta_labranza,TIMPL,,,
Profund_labranza,TDEP,cm,,
Fecha_cosecha,HDATE,,,
Estadio_cosecha,HSRG,,,
Componente_cosecha,HCOM,,,
Grupo_tamaño_cosecha,HSIZ,,,
Porcent_cosecha,HPC,%,,
