Fecha     ,Hora    ,Bateria [Med] [V],Hum. Rel [Med] [%],Lluvia [Acu] [mm],Temp. Ai [Med] [�C],D.Viento [Med] [�],P.Rocio [Med] [�C],Evap. [Inc] [mm],R.Global1 [Med] [W/m2],V.Viento [Med] [Km/h]
1/1/2013  ,12:00:00,12.8             ,78.14             ,0                ,22.91              ,32.76             ,18.88             ,0.04            ,0                     ,2.26
1/1/2013  ,1:00:00 ,12.79            ,77.54             ,0                ,22.84              ,353.46            ,18.68             ,0.06            ,0                     ,2.34
1/1/2013  ,2:00:00 ,12.77            ,76.21             ,0                ,22.68              ,327.51            ,18.21             ,-0.02           ,0                     ,2.93
1/1/2013  ,3:00:00 ,12.75            ,60.9              ,0                ,23.69              ,9.39              ,15.65             ,0.07            ,0                     ,2.79
1/1/2013  ,4:00:00 ,12.73            ,55.95             ,0                ,24.08              ,357.83            ,14.71             ,0.09            ,0                     ,3.41
1/1/2013  ,5:00:00 ,12.71            ,56.66             ,0                ,23.75              ,336.75            ,14.59             ,0.03            ,0                     ,5.28
1/1/2013  ,6:00:00 ,12.69            ,51.7              ,0                ,24.89              ,338.27            ,14.24             ,0.14            ,0                     ,8.4
1/1/2013  ,7:00:00 ,12.68            ,57.81             ,0                ,23.28              ,355.53            ,14.45             ,0.23            ,13.47                 ,3.07
1/1/2013  ,8:00:00 ,13.23            ,58.98             ,0                ,24.81              ,263.29            ,16.02             ,0.15            ,199.76                ,3.58
1/1/2013  ,9:00:00 ,13.67            ,40.48             ,0                ,29.46              ,181.45            ,14.62             ,-0.02           ,453.87                ,4.38
1/1/2013  ,10:00:00,13.68            ,42.07             ,0                ,29.85              ,171.31            ,15.58             ,0.11            ,616.09                ,5.44
1/1/2013  ,11:00:00,13.69            ,41.59             ,0                ,30.47              ,164.22            ,15.98             ,0.17            ,768.23                ,5.39
1/1/2013  ,12:00:00,13.71            ,38.94             ,0                ,32.1               ,209.52            ,16.41             ,-0.17           ,844.3                 ,5.91
1/1/2013  ,1:00:00 ,13.71            ,37.25             ,0                ,32.94              ,213.93            ,16.48             ,0.41            ,801.74                ,6.69
1/1/2013  ,2:00:00 ,13.72            ,38.67             ,0                ,32.67              ,205.69            ,16.82             ,0.88            ,679.71                ,6.2
1/1/2013  ,3:00:00 ,13.71            ,41.51             ,0                ,32.08              ,194.59            ,17.4              ,0.28            ,486.36                ,4.91
1/1/2013  ,4:00:00 ,13.71            ,41.31             ,0                ,31.66              ,198.76            ,16.95             ,0.34            ,366.54                ,5.7
1/1/2013  ,5:00:00 ,13.7             ,43.82             ,0                ,29.91              ,180.07            ,16.27             ,0.43            ,181.11                ,5.75
1/1/2013  ,6:00:00 ,13.28            ,51.63             ,0                ,27.61              ,207.07            ,16.72             ,0.44            ,22.25                 ,3.29
1/1/2013  ,7:00:00 ,12.93            ,62.35             ,0                ,25.43              ,16.99             ,17.68             ,0.05            ,0                     ,1.82
1/1/2013  ,8:00:00 ,12.89            ,71.84             ,0                ,23.73              ,329.94            ,18.31             ,-0.1            ,0                     ,3.04
1/1/2013  ,9:00:00 ,12.86            ,76.72             ,0                ,22.62              ,11.8              ,18.3              ,0.2             ,0                     ,2.57
1/1/2013  ,10:00:00,12.83            ,80.77             ,0                ,21.41              ,25.58             ,17.94             ,0.18            ,0                     ,2.39
1/1/2013  ,11:00:00,12.8             ,82.5              ,0                ,20.7               ,1.8               ,17.59             ,0.08            ,0                     ,3.66
1/2/2013  ,12:00:00,12.79            ,82.58             ,0                ,20.53              ,356.53            ,17.44             ,0.11            ,0                     ,3.47
1/2/2013  ,1:00:00 ,12.77            ,72.47             ,0                ,22.52              ,320.11            ,17.27             ,0.13            ,0                     ,6.91
1/2/2013  ,2:00:00 ,12.76            ,69.49             ,0                ,22                 ,329.51            ,16.12             ,0.05            ,0                     ,5.95
1/2/2013  ,3:00:00 ,12.74            ,80.13             ,0                ,20.1               ,340.96            ,16.53             ,0.04            ,0                     ,3.86
1/2/2013  ,4:00:00 ,12.72            ,72.42             ,0                ,21.75              ,359.4             ,16.51             ,0.08            ,0                     ,2.89
1/2/2013  ,5:00:00 ,12.7             ,66.53             ,0                ,22.47              ,353.85            ,15.89             ,0.08            ,0                     ,3.69
1/2/2013  ,6:00:00 ,12.68            ,69.68             ,0                ,21.43              ,341.71            ,15.63             ,0.08            ,0                     ,5.48
1/2/2013  ,7:00:00 ,12.66            ,67.34             ,0                ,21.95              ,325               ,15.58             ,0.03            ,12.13                 ,6.94
1/2/2013  ,8:00:00 ,13.24            ,56.61             ,0                ,25.26              ,333.67            ,15.94             ,0.01            ,207.74                ,4.56
